Vendor ID,Foundry Name, Website, Description
!ETF,!Exclamachine Type Foundry,http://www.exclamachine.com,github location
$pro,CheapProFonts,http://www.cheapprofonts.com/,github location
1ASC,Ascender Corporation,http://www.ascendercorp.com/,github location
1BOU,Boutros International,http://www.boutrosfonts.com,github location
